Date,BND,XLC,VTV
1928-04-16,,13971.5000000000,8.6695103063
1928-04-17,,13993.8100000000,8.6137059299
1928-04-18,,14255.4400000000,8.5983296827
1928-04-19,,14333.8000000000,8.6427081823
1928-04-20,,14247.7400000000,8.5657714805
1928-04-23,,14200.6700000000,8.5602557525
1928-04-24,,14143.8200000000,8.5911808062
1928-04-25,,14310.6700000000,8.6958995210
1928-04-26,,14279.1300000000,8.7922491202
1928-04-27,,14370.4700000000,8.8616425247
1928-04-30,,14368.8500000000,8.9740154677
1928-05-01,,14519.6800000000,8.9710696375
1928-05-02,,14526.8800000000,8.9509788295
1928-05-03,,14699.7000000000,8.9597731801
1928-05-04,,14914.2600000000,9.0260790095
1928-05-07,,15091.6900000000,9.0338441685
1928-05-08,,15016.1800000000,8.9776946739
1928-05-09,,14900.5000000000,9.0372522105
1928-05-10,,14903.4300000000,9.0303005444
1928-05-11,,14983.8500000000,9.0658600420
1928-05-14,,14973.3100000000,9.0903079671
1928-05-15,,14923.8400000000,9.0653546904
1928-05-16,,14946.1800000000,8.9379013158
1928-05-17,,15753.2200000000,8.9604387652
1928-05-18,,15589.3300000000,8.9336181527
1928-05-21,,15342.9600000000,8.7917745827
1928-05-22,,15180.2700000000,8.7039789840
1928-05-23,,15357.8300000000,8.8296019998
1928-05-24,,15334.7300000000,8.8614699656
1928-05-25,,15258.0100000000,8.9187226057
1928-05-28,,15267.1100000000,8.7941595958
1928-05-29,,15215.1400000000,8.8461553466
1928-05-31,,15320.0700000000,8.9356025822
1928-06-01,,15387.4300000000,8.9469236909
1928-06-04,,15103.3400000000,8.8361037797
1928-06-05,,15153.1300000000,8.8495202488
1928-06-06,,15072.7600000000,8.7758560069
1928-06-07,,14938.5600000000,8.7298566844
1928-06-08,,14793.6000000000,8.6051765807
1928-06-11,,14197.3800000000,8.3432133973
1928-06-12,,14193.0700000000,8.2330467455
1928-06-13,,14706.8100000000,8.4744384206
1928-06-14,,14700.8700000000,8.5458470687
1928-06-15,,14537.6400000000,8.4795042624
1928-06-18,,14351.5100000000,8.3079004126
1928-06-19,,14374.4200000000,8.2857450583
1928-06-20,,14447.6800000000,8.3937732099
1928-06-21,,14473.6300000000,8.3964170617
1928-06-22,,14443.1800000000,8.3875117802
1928-06-25,,14394.0700000000,8.3574803361
1928-06-26,,14406.9700000000,8.4188250918
1928-06-27,,14477.5100000000,8.4885266375
1928-06-28,,14467.3300000000,8.5340575853
1928-06-29,,14486.0800000000,8.5717987229
1928-07-02,,14461.2600000000,8.4994964652
1928-07-03,,14644.8700000000,8.6157026851
1928-07-05,,14628.7100000000,8.6650114444
1928-07-06,,14647.6700000000,8.6540724308
1928-07-09,,14586.0600000000,8.6416543393
1928-07-10,,14536.4100000000,8.5981941005
1928-07-11,,14360.4700000000,8.4461325674
1928-07-12,,14369.0400000000,8.4377696145
1928-07-13,,14387.6600000000,8.4855006907
1928-07-16,,14367.2900000000,8.3910307530
1928-07-17,,14347.1300000000,8.3997634754
1928-07-18,,14403.0300000000,8.4435133669
1928-07-19,,14332.4000000000,8.4374368219
1928-07-20,,14309.4200000000,8.4414981233
1928-07-23,,14242.1800000000,8.4594565941
1928-07-24,,14296.2500000000,8.4727498066
1928-07-25,,14410.5700000000,8.5112181575
1928-07-26,,14377.3700000000,8.5261568443
1928-07-27,,14434.8300000000,8.5782327118
1928-07-30,,14426.1200000000,8.5807101672
1928-07-31,,14333.7400000000,8.5728525659
1928-08-01,,14514.3000000000,8.6133608117
1928-08-02,,14461.9900000000,8.5897140539
1928-08-03,,14460.4900000000,8.5967581624
1928-08-06,,14428.6500000000,8.6754697576
1928-08-07,,14417.0500000000,8.6450747069
1928-08-08,,14367.9800000000,8.5708249967
1928-08-09,,14416.7800000000,8.5706092978
1928-08-10,,14356.1800000000,8.5594730738
1928-08-13,,14407.8400000000,8.5715706984
1928-08-14,,14366.0100000000,8.5472337042
1928-08-15,,14374.5800000000,8.6190490988
1928-08-16,,14467.9600000000,8.6783847737
1928-08-17,,14465.0100000000,8.7026169998
1928-08-20,,14556.2200000000,8.7341891500
1928-08-21,,14866.2200000000,8.8211157904
1928-08-22,,14823.0500000000,8.7968835642
1928-08-23,,14754.8100000000,8.7949730886
1928-08-24,,14773.9400000000,8.8795270416
1928-08-27,,14698.3800000000,8.8286714133
1928-08-28,,14732.1400000000,8.8893382583
1928-08-29,,14771.8600000000,8.9155610767
1928-08-30,,14875.2100000000,8.9370631716
1928-08-31,,14980.7700000000,9.0148626688
1928-09-04,,15025.6500000000,9.0792456970
1928-09-05,,15063.1600000000,9.1138191428
1928-09-06,,14929.0500000000,9.0768052185
1928-09-07,,14976.7700000000,9.1102570302
1928-09-10,,14952.6900000000,9.0329259076
1928-09-11,,14997.5000000000,9.0787588338
1928-09-12,,15010.9400000000,9.1150948474
1928-09-13,,15012.3900000000,9.1167649729
1928-09-14,,15013.8400000000,9.1465006014
1928-09-17,,15072.3400000000,9.2316646739
1928-09-18,,15008.9800000000,9.1771421651
1928-09-19,,15046.4500000000,9.1757247154
1928-09-20,,15062.9500000000,9.1408123143
1928-09-21,,15079.4600000000,9.1953718001
1928-09-24,,15110.8700000000,9.2556935269
1928-09-25,,15053.3900000000,9.2264201102
1928-09-26,,15069.9000000000,9.1985086778
1928-09-27,,15017.1000000000,9.1278395686
1928-09-28,,14982.5100000000,9.0962181158
1928-10-01,,14938.9200000000,9.1439307035
1928-10-02,,14994.1400000000,9.1095667938
1928-10-03,,14917.6200000000,9.0767744043
1928-10-04,,14887.7300000000,9.0820128052
1928-10-05,,14874.2800000000,9.0466012153
1928-10-08,,14880.1800000000,9.0344789394
1928-10-09,,14835.4800000000,9.0219191030
1928-10-10,,14887.3500000000,9.0970131202
1928-10-11,,14917.0700000000,9.1303170241
1928-10-15,,14958.8000000000,9.1894000231
1928-10-16,,14954.2600000000,9.2376487766
1928-10-17,,14985.6100000000,9.2685245276
1928-10-18,,14988.5600000000,9.2650548574
1928-10-19,,15018.4800000000,9.2733438564
1928-10-22,,15084.5800000000,9.2773496924
1928-10-23,,15104.1300000000,9.3514638205
1928-10-24,,15105.5900000000,9.3620577159
1928-10-25,,15164.4500000000,9.3606032893
1928-10-26,,15147.7100000000,9.3137781483
1928-10-29,,15597.8900000000,9.4583456868
1928-10-30,,15551.0400000000,9.3724174240
1928-10-31,,15445.2400000000,9.3313483612
1928-11-01,,15456.0000000000,9.4464514354
1928-11-02,,15598.1400000000,9.4506606446
